,id,text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
677,24672,"sản_phẩm tốt . vận_chuyển hàng , nhân_viên giao hàng nhiệt_tình",0,0,0,1,1,0
679,24670,combo 2 gói tã quần 1 gói báo giao hàng thành_công . cạnh giao hàng ( 10 ) . bao_bì đóng_gói cẩn_thận .,0,-1,0,0,-1,0
680,24669,"giao hàng , tốt kì hài_lòng",0,0,0,1,1,0
681,24668,mua 2 gói moony kích_thước m voucher sale 30 % mua dầu olive kid hàng không quà,0,-1,0,0,0,0
683,24666,"cực_kì hài_lòng , hàng giao đúng y_như hình kì hài_lòng",0,0,0,0,1,1
684,24665,mua mất sàn giao_dịch . đều ổn kì hài_lòng,0,0,0,0,0,0
685,24664,"tả quần nhẹ , mềm . bé mặc thoải_mái loại tả không tả quần kích_thước xxxl ?",0,0,0,1,0,0
686,24663,giao hàng . đóng_gói cẩn_thận kì hài_lòng,0,0,0,0,1,0
687,24662,sản_phẩm tốt . giá_cả ưu_đãi . thanks tiki kì hài_lòng,1,0,0,1,0,0
688,24661,cám_ơn shop giao hàng . giá_cả ổn_định . kì hài_lòng,1,0,0,0,1,0
689,24660,"rẻ , êm hợp túi_tiền",1,0,0,1,0,0
692,24657,"tã mềm , thấm hút tốt , rộng_rãi . tiki giao , , chiều m không đăng_kí vụ tốt",0,0,0,1,1,0
693,24656,"mua hàng ti ki , uy_tín chất kiểm mua hàng ti ki",0,0,0,1,0,1
694,24655,"tã không mùi , bề_mặt tã mềm mịn , ôm nhẹ bé , không vết hằn . không hề xệ mặc_dù bé tè bé hoạt_động dễ_dàng . băng_keo tã . mua đợt giảm_giá giá tốt . ưng sản_phẩm tã pampers dáng . canh sale mua . xịn giá tốt tiền",1,0,0,1,0,0
695,24654,"hàng giao , chiều_hôm trưa hôm giao . hàng sản_xuất , hạn , đóng_gói cẩn_thận kì hài_lòng",0,0,1,1,1,0
696,24653,"vô_cùng hài_lòng , giao hàng chất_lượng kì hài_lòng",0,0,0,1,1,0
697,24652,"order tết hôm_nay . chưa sản_phẩm_chất_liệu tốt , to , hơi xíu . as to",0,0,0,1,1,0
698,24651,săn bỉm giá rẻ . trừ 80k . tiếc săn trưa 100k mất . thảm bé . đầu mua tả hãng . hi_vọng bé hợp không hăm . hài_lòng,1,1,0,0,0,0
699,24650,"giá đắt . sữa , đề_nghị hãng độ đi . uống vẻ nóng . giá mua tiki tàm_tạm , giao hàng siêu , ship hàng tốt .",-1,1,0,-1,1,0
700,24649,tốt tốt tốt . kì hài_lòng,0,0,0,0,0,0
701,24648,"tốt , giao hàng ! ủng_hộ tiki tương_lai kì hài_lòng",0,0,0,1,1,0
704,24645,hàng hãng . yên_tâm bé xài . lợi mua gói 54m . kì hài_lòng,1,0,0,0,0,1
705,24644,"giao hàng , đóng_gói cẩn_thận . hài_lòng quần bobby",0,0,0,0,1,0
706,24643,giá_cả hợp_lý chất_lượng đảm_bảo trẻ kì hài_lòng,1,0,0,1,0,0
707,24642,tả êm oke bé lắm nha kì hài_lòng,0,0,0,1,0,0
709,24640,lừa 1 trắng_trợn . đi giao 108 không hài_lòng,0,-1,0,0,0,0
710,24639,sản_phẩm oke kì hài_lòng,0,0,0,1,0,0
711,24638,giao hàng hơi chậm,0,0,0,0,-1,0
712,24637,"sản_phẩm oke bé 5,5 kg mặc hơi chật hằn kì hài_lòng",0,0,0,-1,0,0
713,24636,tiki giao hàng tốt kì hài_lòng,0,0,0,0,1,0
714,24635,"2 bịch bé gái bao_bì ghi man . bỉm màu hồng , chả nhầm không ? chả_lẽ nhật_nhầm ? bé gái mã man",0,0,0,0,0,0
716,24633,đồ không tâm v . đồ han thi s ma xai hạn 25 2 2019 . sợ tiki roi shop mua 2 bich . tien mo hoi cong suc cua ng ta kì hài_lòng,0,0,0,0,0,0
717,24632,3 bé lớn đều tả mua tiki an_tâm . phẩm tốt,0,0,0,0,0,0
718,24631,"tã thích_hợp ban_ngày , 3 - 4 tiếng nặng_trĩu . mua bé ban_ngày , đêm loại không lo tràn . kì hài_lòng",0,0,0,0,0,0
719,24630,không hài_lòng . tã quần shop giao tã dán . 1 dịch_vụ tệ không hài_lòng,0,-1,0,0,0,0
720,24629,"tã siêu thấm hút xịn , mua deal giá hời kì hài_lòng",1,0,0,1,0,0
726,24623,"tã mềm , thấm hút tốt . kì hài_lòng",0,0,0,1,0,0
729,24620,nghe mùi hơi lằn lưng phai mua kích_thước bé 5 kg mom mua cân_nhắc kích_thước bé oke,0,0,0,0,0,0
730,24619,giá tốt chất_lượng tốt . kì hài_lòng,1,0,0,1,0,0
731,24618,sản_phẩm tốt . giá tốt . vận_chuyển đúng hẹn . nhất_thời_gian vận_chuyển tiki .,1,0,0,1,1,0
732,24617,sản_phẩm_chất hài_lòng kì hài_lòng,0,0,0,1,0,0
733,24616,mua . chất_lượng ok,0,0,0,1,0,0
734,24227,ship hàng kì hài_lòng,0,0,0,0,1,0
735,24226,đợt mua hàng hài_lòng . đợt mua không hài_lòng bao_bì cũ dơ . không hài_lòng,0,0,0,-1,0,0
736,24225,"shop nha , rẻ túi_tiền dân kì hài_lòng",1,0,0,0,0,0
737,24224,bỉm pampers hài_lòng chất_lượng độ thấm . vơi bỉm kích_thước hơi mua kích_thước bỉm nhỉnh 1 size . an_tâm,0,0,0,1,0,0
738,24223,"tả mỏng thấm tốt không tràn , bé ngủ ngon kì hài_lòng",0,0,0,1,0,0
739,24222,sản_phẩm ok . . bé sản_phẩm kì hài_lòng,0,0,0,1,0,0
740,24221,"kích_thước xl , không loại tràn ướt lưng , khô queo . , bé tiểu 2 kích_thước xl mẫu ok . lưng vẻ thấm mồ_hôi không tốt mẫu oke hài_lòng",0,0,0,-1,0,0
741,24220,"giao hàng , mua tiki . hài_lòng kì hài_lòng",0,0,0,0,1,0
742,24219,"tã mềm , mỏng , bé_nhỏ thường_xuyên thay tã",0,0,0,-1,0,0
743,24218,"mấy ok , tả không thấm bé đái toàn tràn . hàng kém chất_lượng không hài_lòng",0,0,0,-1,0,0
745,24216,nao khuyến_mại như 350k / 1 hộp . mua 5 hộp giá không shop kì hài_lòng,0,0,0,0,0,0
746,24215,giao hàng . kì hài_lòng,0,0,0,0,1,0
748,24213,"chất_liệu dày , hình , hài_lòng",0,0,0,1,0,1
749,24212,giao siêu . tối hôm . đóng_gói sơ_sài . săn sale ủng_hộ tiki kì hài_lòng,0,0,0,0,-1,0
750,24211,tả oke hợp túi_tiền kì hài_lòng,1,0,0,1,0,0
752,24209,"giao hàng cực , tặng quà dễ_thương , kì hài_lòng",0,1,0,0,1,0
753,24208,giá . thích_hợp thay thường_xuyên bé kì hài_lòng,1,0,0,0,0,0
754,24207,"không nắp kim_loại , sữa kiến",0,0,0,0,0,0
755,24206,"hàng chuẩn , giao hàng . kì hài_lòng",0,0,0,0,1,1
758,24203,sản_phẩm tuyệt_vời . bỉm đóng đêm khô thoáng . mua dần bé . kì hài_lòng,0,0,0,1,0,0
759,24202,"giá rẻ , oke",1,0,0,0,0,0
760,24201,"mua tã quần pamper nhìu tiki , ok , pamper xen kẻ loại ( ban_ngày ) ban_đêm tã không thấm . giá rẻ hài_lòng",1,0,0,1,0,0
761,24200,"sản_phẩm không như mô_tả . loại đệm lưng thấm mồ_hôi loại khô thoáng bình_thường . tặng 9 miếng không gói tã tặng kèm , không . không hài_lòng",0,-1,0,-1,0,-1
762,24199,mua bỉm tiki rẻ quất dịch jumbo . gói jumbo chưa mua bịch . kì hài_lòng,1,0,0,0,0,0
763,24198,"vị trà không ngon , uống , không , không mua trẻ",0,0,0,-1,0,0
764,24197,hài_lòng sản_phẩm ủng_hộ dài_dài kì hài_lòng,0,0,0,0,0,0
765,24196,hài_lòng . sẻ ủng_hộ shop kì hài_lòng,0,0,0,0,0,0
766,24195,xài . ko tràn . thích_hợp đêm . ko hăm . giao hàng đk ban_ngày hơi dày mấy hãng kì hài_lòng,0,0,1,1,1,0
767,24194,bao_bì hơi bẩn hy_vọng sản_phẩm ok . giá rẻ siêu_thị,1,0,0,0,-1,0
768,24193,thoáng nhẹ . mua . 😷 kì hài_lòng,0,0,0,1,0,0
770,24191,giặt 2 rách . tràn ướt . hài_lòng,0,0,0,-1,0,0
773,24188,"giao hàng , sản_phẩm đóng_gói . oke kì hài_lòng",0,0,0,0,1,0
774,24187,"sản_phẩm hạn , quà tặng kèm siêu dễ_thương , tiện mẹ , bé lắm kì hài_lòng",0,1,1,0,0,0
775,24186,"sản_phẩm tốt , đúng chất_lượng kì hài_lòng",0,0,0,1,0,0
776,24185,"chán kinh_khủng , 2 bịch không nổi , bỉm nhão_nhoét không ôm mông , chun bụng 0 chỗ 😎 , mẹ không mua bỉm , vứt tiếc , chả nổi . jo ngon không hài_lòng",0,0,0,-1,0,0
777,24184,"giao hàng 2 , đóng_gói sơ_sài , chưa kỹ , rách 1 chỗ vỏ bọc . kì hài_lòng",0,0,0,0,-1,0
778,24183,ok mua kì hài_lòng,0,0,0,0,0,0
779,24182,sản_phẩm oke gói hàng chưa cẩn_thận lắm kì hài_lòng,0,0,0,1,-1,0
781,24180,"mua tặng 9 miếng đủ ( gói 3 dây , dây 3 miếng ) , không coi kỹ tặng 3 miếng không tặng 🤣 ok , mùi không dễ_chịu tí . kì hài_lòng",0,1,0,-1,0,0
782,24179,hàng nha shop . shop giao hàng đóng_gói sản_phẩm kỹ kì hài_lòng,0,0,0,0,1,0
783,24178,"rẻ mua shop , tiki giao hàng nhanh_chóng mua",1,0,0,0,1,0
786,24175,không giao quà tặng ? giao quà tặng .,0,-1,0,0,0,0
787,24174,"sản_phẩm tốt , đóng_gói giao hàng mua hàng kì hài_lòng",0,0,0,1,1,0
788,24173,"bỉm thấm hút tốt , mẫu_mã đẹp , giao hàng kì hài_lòng",0,0,0,1,1,0
790,24171,"bỉm thanh_toán . ngớ nhầm kích_thước giao hàng . giao hàng đi xong gọi tổng_đài đổi . mất_công đi , xong gọi điện tổng_đài báo không . thất_vọng tiki . làm_ăn không rõ_ràng",0,-1,0,0,0,0
792,24169,"sữa hãng , xe đồ_chơi đẹp . kì hài_lòng",0,1,0,0,0,1
793,24168,"sản_phẩm tốt , túi_tiền tặng quà",1,1,0,1,0,0
794,24167,"sản_phẩm tốt . hạn , giá rẻ , không combo cỡ , kì hài_lòng",1,0,1,1,0,0
795,24166,giao . sản_phẩm hạn kì hài_lòng,0,0,1,0,1,0
796,24165,"sản_phẩm tốt , đóng_gói đạt chất_lượng , giao hàng kì hài_lòng",0,0,0,1,1,0
797,24164,chất bt giá không nổi_trội lắm,0,0,0,0,0,0
799,24162,"hàng tốt , đóng_gói cẩn_thận . mua tiếp . thanks tiki oke",0,0,0,1,1,0
800,24161,giá_cả hợp_lý kì hài_lòng,1,0,0,0,0,0
802,24159,"cực_kỳ hài_lòng hàng , sản_phẩm đẹp , , y mẫu kì hài_lòng",0,0,0,1,0,0
804,24157,hàng chuẩn giá rẻ kì hài_lòng,1,0,0,0,0,1
805,24156,giao hàng . quà tặng dễ_thương xinh_xắn . giá_cả tốt . gia_đình hài_lòng tiki mong tiki phát_triển kì hài_lòng,1,1,0,0,1,0
806,24155,"đặt_hàng 2 , đều hàng khuyến_mãi kèm . giao hàng . hài_lòng .",0,1,0,0,1,0
807,24154,"giao hàng hơi chậm đóng_gói cẩn_thận , không bé tè dòng tả 1 đêm thay 2 không như mô_tả sản_phẩm bé 1 giấc_ngủ ngon nguyên đêm không hài_lòng lắm",0,0,0,-1,-1,0
809,24152,giao hàng chậm dự_kiến giao hài_lòng,0,0,0,0,-1,0
810,24151,"bề_mặt tã mềm , thấm tốt không tràn , chun mềm_mại không lằn da bé mềm , thấm hút tốt",0,0,0,1,0,0
812,24149,"giao hàng , hôm_qua , hôm_nay giao , mua giá rẻ 219k kì hài_lòng",1,0,0,0,1,0
816,24145,hơi mỏng bé tè 2 thay,0,0,0,-1,0,0
817,24144,"sản_phẩn tuyệt , rẻ ngon bổ kì hài_lòng",1,0,0,1,0,0
819,24142,"tả ok tốt , mua tiki , ok ok ok ok ok ok ok oke",0,0,0,1,0,0
820,24141,"hàng giao bao_bì , giao hàng kì hài_lòng",0,0,0,1,1,0
822,24139,"sản_phẩm tốt , giá rẻ thị_trường kì hài_lòng",1,0,0,1,0,0
823,24138,"sữa vị đắng , uống , bé pha đầu hộp . huhu không hài_lòng",0,0,0,-1,0,0
824,24137,"giao hàng , chưa không chất_lượng frend",0,0,0,0,1,0
825,24136,"tã ok . đúng hãng . ship cực_kì ưa . đem hàng dục đất bạch đọc tiền mặc hầm như ăn thịt . chửi kêu đường không đi , đem vô cực như quỷ . mua trang chưa ship ưa . mong tiki dùm .",0,0,0,0,-1,1
829,24132,sp khuyến_mãi đẹp kì hài_lòng,0,1,0,0,0,0
830,24131,tả đẹp quà xinh kì hài_lòng,0,1,0,1,0,0
833,24128,hàng . giao đầy_đủ hạn . cám_ơn tiki . ship rẻ 30k mua đại_lý kì hài_lòng,1,0,1,0,1,0
834,24127,giao hàng cực_kỳ . mua tã mua tiki kì hài_lòng,0,0,0,0,1,0
835,24126,"tiki giao hàng như gió . tối 21 23 . săn mã 50k mua liền bỉm xài . pampers oke lắm , mỏng nhẹ thấm tốt mềm mịn . mua để_dành . vote 5 * nha . kì hài_lòng",1,0,0,1,1,0
838,24123,"hàng tiki phân_phối chất_lượng chuẩn , đóng_gói kĩ , giao hàng viên giao hàng vui_vẻ lễ_phép . giá hơi shop 1 chút",-1,0,0,1,1,0
839,24122,"sản_phẩm okay , hài_lòng thắc_mắc nhận_xét 50 ký_tự ?",0,0,0,0,0,0
840,24121,"giao hàng , chất_lượng sản_phẩm tốt . hàng !",0,0,0,1,1,0
841,24120,mua khuyến_mãi rẻ kì hài_lòng,1,0,0,0,0,0
843,24118,tả mặc bé . ít hăm .,0,0,1,1,0,0
844,24117,"tốt unidry , ban_ngày bé tuyệt_vời , mẹ mua kì hài_lòng",0,0,0,1,0,0
845,24116,"sản_phẩm tốt , mua shop . giao hàng siêu hài_lòng",0,0,0,1,1,0
847,24114,"tiki đóng_gói thùng cẩn_thận , tiki yên_tâm 100 % . bỉm sản_xuất 7 / 2019 , hình_ảnh in bỉm dễ_thương , bé mặc vừa_vặn , thấm hút tốt . hài_lòng .",0,0,1,1,1,0
849,24112,"sản_phẩm tốt , cực_kỳ tốt shop phục_vụ nhiệt_tình đóng_gói hàng kỹ kì hài_lòng",0,1,0,1,1,0
854,24107,mua dịp sale giao hàng siêu siêu siêu . đóng_gói cực_kỳ cẩn_thận . hàng hạn đều . 10 dịch_vụ chất_lượng chưa chưa . nghe review oke kì hài_lòng,0,0,1,0,1,0
855,24106,sản_phẩm tốt - giao hàng - đóng_gói cẩn_thận kì hài_lòng,0,0,0,1,1,0
856,24105,đẹp chất_lượng ủng_hộ tiếp kì hài_lòng,0,0,0,1,0,0
857,24104,"giao hàng , đóng_gói cẩn_thận , chất sản_phẩm ok . sản_phẩm , thẻ cào trúng thưởng . hài_lòng : d_lòng",0,1,0,0,1,0
858,24103,giao hàng giá_cả kì hài_lòng,1,0,0,0,1,0
859,24102,nhập mã giảm_giá tốt . ủng_hộ tốt .,0,0,0,0,0,0
860,24101,"sữa hạn . hàng hãng , giá rẻ thị_trường . kì hài_lòng",1,0,1,0,0,1
861,24100,tạm . chất_lượng tiền ! kì hài_lòng,0,0,0,1,0,0
862,24099,"hàng hạn , chuẩn hãng , quà tặng đầy_đủ , giao hàng , hoá_đơn rõ_ràng . ủng_hộ tiki dài_dài !",0,1,1,0,1,1
866,24095,"giao hàng , hàng hãng kì hài_lòng",0,0,0,0,1,1
867,24094,"sữa mịn , thơm , tan , uống mát tiêu_hóa tốt . tuyệt_vời",0,0,0,1,0,0
868,24093,"ok , hãng kì hài_lòng",0,0,0,0,0,1
869,24092,"tả thấm hút tốt , chưa tràn , ôm mông bé tốt . kì hài_lòng",0,0,0,1,0,0
871,24090,"sữa ok , bé ăn ít bệnh tăng_cường sức đề_kháng kì hài_lòng",0,0,0,0,0,0
872,24089,tả mỏng loại bobby độ thấm hút tốt . loại . mặc tả bé mồ_hôi mông mẹ . mặc bỉm chấp_nhận nóng .,0,0,0,1,0,0
873,24088,"tã chất_lượng ổn , ổn pampers việt_nam . giá_cả , tin_dùng lâu_dài . , chất_lượng chấp_nhận",1,0,0,1,0,0
874,24087,"giao hàng , tã đúng hàng oke kì hài_lòng",0,1,0,1,1,0
875,24086,toàn mua tã dán unidry super tã quần . đợt mua thử loại premium pants . so_sánh loại hẳn . chất_lượng . mua 4 bịch to_đùng . giao hàng không_tưởng . hôm . hôm . hài_lòng,0,0,0,1,1,0
876,24085,không mua tràn hài_lòng,0,0,0,-1,0,0
877,24084,"dòng tã pamper ưng_ý . giá tiền mẫu cũ không chênh lêch tã . tã vừa_vặn ôm khít , thấm hút tốt kì hài_lòng",0,0,0,1,0,0
878,24083,sản_phẩm đúng mô_tả . giao hàng . hài_lòng ! kì hài_lòng,0,0,0,0,1,0
880,24081,"hàng_chất . mỏng , thấm hút tốt . nhẹ . tốt",0,0,0,1,0,0
881,24080,"mua hàng tiki , hàng đóng_gói cẩn_thận , đẹp , sản_phẩm y hình , dễ_thương . giá tiền . giao hàng . ủng_hộ tiki lâu_dài kỳ hài_lòng sản_phẩm , mẹ mua",1,1,0,1,1,1
882,24079,hài_lòng . nhân_viên giao hàng nhiệt_tình vui_vẻ . kì hài_lòng,0,0,0,0,1,0
884,24077,"hàng tốt , lưng quần ngắn bé đi toàn trào lưng",0,0,-1,-1,0,0
885,24076,chất_lượng không loại cũ,0,0,0,-1,0,0
887,24074,"tả thấm không tốt , bé ngủ tè 1 tràn kéo tả ôm mông bé . không hài_lòng không hài_lòng",0,0,0,-1,0,0
888,24073,"hàng chuẩn , tiki giao hàng , balo mini gọn yêu lắm mua",0,1,0,0,1,1
889,24072,hàng kiti oke lắm kì hài_lòng,0,0,0,0,0,0
892,24069,"hàng đóng_gói cẩn_thận , tiki . giao hàng cực_kỳ nhanh_chóng ! kì hài_lòng",0,0,0,0,1,0
894,24031,hàng tốt giá đắt lazada không tặng 6 mua giá vz tặng gói khăn ướt 10 tờ,-1,-1,0,0,0,0
895,24030,sản_phẩm mỏng mẫu đóng_gói mùi hương không hài_lòng,0,0,0,-1,0,0
896,24029,"chưa cảm_quan vẻ ok , giao hàng đúng hẹn shoppe lâzda kì hài_lòng",0,0,0,0,1,0
897,24028,"tiki giao hàng , đóng_gói cẩn_thận . hài_lòng . kì hài_lòng",0,0,0,0,1,0
898,24027,mua chưa thất_vọng kì hài_lòng,0,0,0,0,0,0
899,24026,hình chú_thích quà không,0,-1,0,0,0,0
900,24025,"mua hàng tiki tin_tưởng , thất_vọng . hàng vận_chuyển , hàng bóc lớp túi_bóng bao_bì sản_phẩm bẩn , rách , trông bao_bì cũ . hài_lòng",0,-1,-1,0,-1,0
901,24024,"sữa đóng_gói cẩn_thận , đồ_chơi to bé 2 kì hài_lòng",0,1,0,0,1,0
902,24023,hàng oke mua kích_thước m bé,0,0,0,0,0,0
904,24021,hàng cũ làm_ăn_không uy_tín không hài_lòng,0,-1,-1,0,0,0
907,24018,bỉm mềm nhẹ . bé ủng_hộ shop,0,0,0,1,0,0
910,24015,"bỉm to loại size , không đẹp lắm , thấm tương_đối , bé 1 hồi xù xấu lắm , giá mềm , giao hàng 4 * rẻ không đòi_hỏi",1,0,0,-1,1,0
911,24014,đặt_hàng quà tặng kèm không ? shop ? không hài_lòng,0,-1,0,0,0,0
912,24013,"hương thơm dễ_chịu , bé cân . hiệu_quả chưa rõ_ràng . lâu_dài ms",0,0,0,1,0,0
913,24012,"giao hàng , đóng_gói . giá_cả kì hài_lòng",1,0,0,0,1,0
914,24011,"tã pampers gói lớn tiết_kiệm , chống tràn hiệu_quả , bé khô thoáng . bé pampers chưa hăm da . dòng sản_phẩm pampers mỏng , nhẹ dòng cũ , giá_cả hợp_lý , cạnh_tranh loại tã . tiki giao hàng nhanh_chóng đóng_gói cẩn_thận kì hài_lòng",1,0,1,1,1,0
915,24010,"sản_phẩm_chất_lượng , bé thoải_mái , sản_xuất hoạ_tiết màu_sắc bé gái kì hài_lòng",0,0,0,1,0,0
916,24009,"loại 1 , mềm , êm , thấm hút tốt , không hăm ! hài_lòng ! kì hài_lòng",0,0,1,1,0,0
917,24008,mua hikid premium hộp màu trắng . tiki giao nhầm hộp màu kem vàng vui_lòng đổi hàng gấp . không hài_lòng,0,-1,0,0,0,0
918,24007,hàng bé yên_tâm tin_tưởng huggies thanks tiki bì cẩn thân,0,0,1,1,1,0
919,24006,"thiết_kế , lưng bụng tã quần lớp đệm mềm mặc không hằn . mại",0,0,0,1,0,0
920,24005,giá_cả hợp_lý . đóng_gói cẩn_thận,1,0,0,0,1,0
921,24004,tiki gói hàng liền . bé bobby xxl đổi pamper kích_thước tả . bé mặc chật hằn dấu da ... bé 16kg hà 🤧 kì hài_lòng,0,0,0,-1,1,0
923,24002,mua combo 3 bịch xxl 4 tặng quà không tiki ?,0,0,0,0,0,0
924,24001,"bỉm merries 1 : thấm hút cực tốt , siêu mềm . mua sản_phẩm bé sinh . tin_tưởng chất_lượng merries_lượng tuyệt_vời",0,0,0,1,0,0
925,24000,"hàng chất_lượng tốt , giao hàng kì hài_lòng",0,0,0,1,1,0
928,23997,"tốt , mỏng nhẹ bé , giá_cả , giao hàng tận kì hài_lòng",1,0,0,1,1,0
930,23995,"hàng đúng như hình , giao hàng , chất_lượng ok đúng như hình , giao hàng",0,0,0,1,1,0
931,23994,"mua quà mũ bobby . giao không quà , giao hàng bảo không tiki quà quà",0,-1,0,0,0,0
932,23993,"mua sữa tiki , tiki cung_cấp sản_phẩm chất_lượng , hạn , đóng_gói cẩn_thận giao như tia chớp . 9h 9h30 . hài_lòng . chấm 10 . phâmt tốt , chất_lượng",0,0,1,1,1,0
933,23992,"định mua giá , đợi khuyến_mãi mua tiếp",-1,0,0,0,0,0
935,23990,đúng mẫu đẹp hợp túi_tiền kì hài_lòng,1,0,0,0,0,0
937,23988,"cực_kì hài_lòng bỉm đệm mây co_giãn 4 chiều , bế bé đi không hề hằn đỏ , lớp đệm mây êm mềm . kì hài_lòng",0,0,0,1,0,0
938,23987,"đóng_gói cẩn_thận , chất_lượng mua cửa_hàng",0,0,0,1,1,0
940,23985,"tiki giao dự_kiến , trưa hàng . shipper chuyên_nghiệp . sp đúng mô_tả , hạn . kì hài_lòng",0,0,1,1,1,0
941,23984,"tã tệ , mỏng , thấm hút không tốt , bé mặc tràn , ướt nệm liên_tục . mặc trưa tiếng . khuyên chân_thành không mua , bịch tã nguyên ấm_ức . không hài_lòng",0,0,0,-1,0,0
942,23983,"mua tiki an_tâm , săn mã giảm_giá , tuyệt_vời tốt ,",1,0,0,1,0,0
943,23982,"sản_phẩm mùi dễ_chịu , chất_lượng tốt . đóng_gói",0,0,0,1,1,0
944,23981,chưa giao đúng sp ! kì hài_lòng,0,1,0,0,0,0
945,23980,hài_lòng ! ủng_hộ kì hài_lòng,0,0,0,0,0,0
946,23979,"ban_ngày tạm đc , ban_đêm nằm tràn ướt",0,0,0,-1,0,0
948,23977,hài_lòng tin_dùng sản_phẩm 1 kì hài_lòng,0,0,0,0,0,0
951,24398,"đóng_gói ok , tã tốt , bé không đỏ da . kì hài_lòng",0,0,1,1,1,0
953,24396,sản_phẩm tốt . tiki giao hàng hơi chậm . 1 tuần giao . trừ 1,0,0,0,1,-1,0
954,24395,túi_tiền .,1,0,0,0,0,0
955,24394,"hẹn 7 / 6 trạng_thái tiếp_nhận , chưa đóng_gói . mong tiki giùm giao hàng khuyễn mãi",0,-1,0,0,0,0
956,24393,"sp tốt , giao hàng . mỗi_tội giao nghỉ trưa không ưng lắm kì hài_lòng",0,0,0,1,-1,0
957,24392,sản_phẩm tốt giá rẻ kì hài_lòng,1,0,0,1,0,0
958,24391,sp xua gio minh dung . tot_lòng,0,0,0,0,0,0
959,24390,"hộp dễ_thương . hơi xước nhẹ chút_xíu , không . 1 hộp kỷ_niệm giá_thành ok . kì hài_lòng",0,0,0,0,0,0
960,24389,sản_phẩm ổn kì hài_lòng,0,0,0,0,0,0
962,24387,chất_lượng tạm giá . tiết_kiệm mua . không chút mua loại extra sài_ok,1,0,0,-1,0,0
963,24386,hàng tốt chất_lượng giao hàng kì hài_lòng,0,0,0,1,1,0
965,24384,"tã tốt , tiki đóng_gói cẩn_thận giao hàng . tốt",0,0,0,1,1,0
966,24383,"sách , mua bỉm tiki 1 , toàn mua combo dần . chất_lượng tốt , đúng như cam_kết , quà tặng đẹp , yêu . ủng_hộ tiki dài_dài . tốt , quà tặng đẹp",0,1,0,1,0,0
967,24382,sản_phẩm oke nè . gói to_đùng rẻ hàng việt_nam_tớ . ủng_hộ shop dài_dài 💯 kì hài_lòng,1,0,0,1,0,0
969,24380,"bé pampers bé nhẹ_nhàng . ok . thấm hút tốt , 1 trào , chưa khít chân bé lưng thun .",0,0,0,-1,0,0
970,24379,tả dán đúng chuẩn . thú nhúng dễ_thương hơi tưởng tưởng . kì hài_lòng,0,1,0,0,0,1
973,24376,"ngon , bổ rẻ kì hài_lòng",1,0,0,1,0,0
976,24373,"tả mỏng , nhẹ . chất không",0,0,0,-1,0,0
977,24372,"sản_phẩm ok , không loại , loại "" đệm mây 4 chiều "" , hình ghi sản_phẩm , ai_ngờ giao , bực_mình coi hình_ảnh ảnh đủ loại , không đại hài_lòng không đúng sản_phẩm",0,-1,0,0,0,0
979,24370,"sản_phẩm_chất_lượng , đóng_gói cẩn_thận , đẹp_mắt . giá_cả giao hàng . mua hàng tiki . kì hài_lòng",1,0,0,1,1,0
980,24369,"chất_lượng phục_vụ tốt , ủng_hộ 😊 hàng , gói hàng cẩn_thận",0,1,0,0,1,0
983,24366,"hàng đúng mô tốt , xài êm , kì hài_lòng",1,0,0,1,0,1
985,24364,"tã dán tốt , bỉm bỉm bỉm merries size . phồng , đêm tràn đều . 12 tiếng 1 bỉm không ướt mông bé .",0,0,0,1,0,0
986,24363,"tã quần thấm hút tốt , mặc thoả mái . quà tặng khăn ướt . hài_lòng . hài_lòng",0,1,0,1,0,0
988,24361,"bé bi mẩn đỏ , không loại sản_phẩm cũ dùn bi mẩn đỏ",0,0,-1,0,0,0
989,24360,"tả mỏng nhẹ , thấm hút tốt , không mất form vón cục . đơn hàng mua tặng kèm bình lock and lock 1,5 l chưa bình , đơn hàng đợi . tiki kiểm_tra đơn hàng phản_hồi giúp 2 bình ? kì hài_lòng",0,-1,0,1,0,0
990,24359,sữa thơm ngon lắm . hàng kì hài_lòng,0,0,0,1,0,0
991,24358,"đề_nghị tiki phản_hồi cung_cấp tặng hàng đính kèm . hàng tặng bẩn , bẩn nắp đậy . nghi_ngờ hàng rót chiết không tin_cậy . tặng dơ cũ",0,-1,0,0,0,0
993,24356,"hàng đúng như hình , chất_lượng ổn , giá hợp_lí , giao hàng kì hài_lòng",1,0,0,1,1,1
996,24353,giao hàng sản_phẩm . kì hài_lòng,0,0,0,0,1,0
997,24352,sữa bé nhẹ cân mua nha ! kì hài_lòng,0,0,0,0,0,0
999,24350,rẻ giá thị giúp mẹ bỉm sữa tiết_kiệm 1 ít tiền kì hài_lòng,1,0,0,0,0,0
1000,24349,mua hàng tiki tuần không quà . mua 4 bịch tả 4 bịch khăn ướt không . kêu không tiền ship 35k phí giao hàng cồng_kềnh_gián,0,-1,0,0,-1,0
1001,24348,"tã mỏng nhẹ , thấm hút tốt combo 3 gói , mua 1 combo kì hài_lòng",0,0,0,1,0,0
1002,24347,"mua tã pamper ưng lắm . mỏng , nhẹ . xài 8 - 9 tiếng kg tràn . bé 1 bú đều 4 - 6 bình . kì hài_lòng",0,0,0,1,0,0
