,id,cmt,giá,dịch_vụ,an_toàn,chất_lượng,ship,other,chính_hãng
727,17054,"giao hàng , hàng tem nhãn đầy_đủ , giá_cả hợp_lý , đóng_gói cẩn_thận",0,0,1,0,1,0,1
728,17053,"ok , hạn 202",0,0,1,1,0,0,0
729,17052,shop đóng_gói siêu cẩn_thận . ưng_ý . vote shop 5 . đủ 10 kí_tự chưa . m quần chip dokma nha : ),0,0,0,0,1,0,0
730,17051,gói cẩn_thận giao,0,1,0,0,1,0,0
732,17049,chiều hôm_qua . trưa,0,0,0,0,1,0,0
733,17048,date 5sao,0,0,1,0,0,0,0
735,17046,bỉm oke . mua shop .,0,0,0,1,0,1,0
736,17045,gói hàng cẩn_thận . tư_vấn nhiệt_tình trách_nhiệm . 5 ủng_hộ .,0,1,0,0,1,0,0
737,17044,quà tặng m không hài,0,-1,0,0,0,0,0
738,17043,mua oke . tin_tưởng shop tuyệt_đối_he,0,1,0,1,0,1,0
739,17042,sản_phẩm đóng_gói . chưa chưa chất_lượng,0,1,0,0,1,0,0
740,17041,"mua sale giá hàng đóng_gói kĩ_càng chèn xốp , dán niêm_phong hàng vỡ . hộp sữa nguyên_vẹn không móp méo j . ưng",1,1,0,0,1,0,0
741,17040,"sản_phẩm đóng_gói cẩn_thận , giao hàng , ủng_hộ cửa_hàng",0,0,0,0,1,0,0
743,17038,shop đóng_gói cẩn_thận . giao hàng hơi xíu . sữa hạn 11 / 2021 tạm ổn,0,0,1,0,-1,0,0
745,17036,"night bỉm cứng gold , sản_phẩm tốt , ảnh video không",0,0,0,1,0,1,0
746,17035,hạn_dùng 2021 . shop khuyến_mãi vui . hài_lòng .,0,1,0,0,0,0,0
747,17034,"hàng ngon , chất_lượng . mua 2 shop ủng_hộ hẹn . chúc vui_vẻ hạnh_phúc !",0,0,0,1,0,0,0
748,17033,"hàng , gởi hàng kỹ_càng . tư mua shop . ko phê_bình .",0,0,0,0,1,1,0
751,17030,chưa chưa,0,0,0,0,0,1,0
754,17027,sữa thơm béo . bé . giao hàng . đúng hàng . cám_ơn shop,0,0,0,1,1,0,1
755,17026,hình video không . giao hàng . háo_hức chưa mẫu . giao mẫu cũ . shop,0,0,0,0,1,0,0
756,17025,mua hàng 2 đóng_gói cẩn_thận không móp méo mn ! ủng_hộ tiêp tục,0,1,0,0,1,0,0
757,17024,"giao hàng , đóng_gói cẩn_thận , sản_phẩm đúng mẫu , ủng_hộ",0,1,0,0,1,0,1
758,17023,"ngon , bé uống",0,0,0,1,0,0,0
759,17022,sữa tốt hàng chuẩn giá rẻ . giao hàng đóng_gói cẩn_thận .,1,0,0,1,1,0,1
762,17019,hàng oke 1 hộp móp méo vận_chuyển ksao,0,0,0,0,-1,0,0
763,17018,sữa thơm . chủ shop tư_vấn nhiệt_tình . giao hàng . ủng_hộ shop tiếp,0,1,0,1,1,0,0
766,17015,bỉm tốt shop đống gói cẩn_thận giao hàng bỉm ủng_hộ shop,0,0,0,1,1,0,0
770,17011,"sp chất_lượng , giao hàng",0,0,0,1,1,0,0
771,17010,"đóng_gói sản_phẩm , shop phục_vụ tốt , chất_lượng sản_phẩm ok !",0,1,0,1,1,0,0
773,17008,sữa ngậy béo nhàn_nhạt không uống . uống 3 hộp 200ml buồn_ghê,0,0,0,1,0,0,0
774,17007,giao hàng không nắp xanh ảnh . ko sữa chuẩn không bé uống sữa đi_ngoài . buồn,0,0,-1,0,1,1,0
779,17002,"mua 3 , uống tiêu_hóa tốt , không bón , sữa . sp rẻ chất_lượng , hàng check hãng . ng yên_tâm mua !",1,0,1,1,0,0,1
780,17001,"shop giao hàng , đóng_gói . chưa chưa chất_lượng , chất_lượng oke ủng_hộ shop dài_dài",0,0,0,0,1,0,0
781,17000,giao hàng,0,0,0,0,1,0,0
783,16998,mua hàng 2 shop . giao hàng . shop nhiệt_tình .,0,1,0,0,1,0,0
784,16997,"sản_phẩm tem hãng . shop phục_vụ tốt , đóng hàng gửi hàng",0,1,0,0,1,0,1
785,16996,giao hàng chậm đừng j & t_expres,0,0,0,0,-1,0,0
786,16995,"shop giao , sản_phẩm tốt , m hài_lòng , ship now tiện",0,0,0,1,1,0,0
787,16994,giao hàng . hàng như mô_tả . thanks !,0,0,0,0,1,0,0
788,16993,hộp sữa bung shop bọc sản_phẩm kĩ va_đập,0,0,0,0,-1,0,0
789,16992,đóng_gói cẩn thân . date . giá c,1,0,1,0,1,0,0
790,16991,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng,0,0,0,1,1,0,0
792,16989,r . hộp hạn . ủng_hộ shop 👍,0,0,1,0,1,0,0
794,16987,"bé 4 mua hàng shop , hàng đảm_bảo , giá ổn_định . ủng_hộ 😋",1,0,0,1,0,0,0
795,16986,giao hàng . đóng_gói cận thận . shop hihi,0,0,0,0,1,0,0
796,16985,hàng . hài_lòng sản_phẩm . mua,0,0,0,1,0,1,0
799,16982,"hàng giao , đóng_gói ổn . shop",0,0,0,0,1,0,0
801,16980,"giao hàng , mua quen 😍",0,0,0,0,1,0,0
802,16979,mua t2 ưng ủng_hộ shop dài_dài tốt,0,0,0,0,0,1,0
803,16978,shop bọc gói cẩn không móp méo . giao hàng .,0,0,0,0,1,0,0
805,16976,"sữa thơm , uống . bé . shop gói hàng cẩn_thận",0,0,0,1,1,0,0
808,16973,shop giao hàng . đóng_gói cẩn_thận . hsd 202 thoải_mái lô hàng,0,0,1,0,1,0,0
810,16971,"shop giao hàng siêu , đóng_gói , sản_phẩm hạn",0,0,1,0,1,0,0
812,16969,sản_phẩm_chất_lượng oke,0,0,0,1,0,0,0
813,16968,"chất_lượng tốt , đêm không tràn 😊",0,0,0,1,0,0,0
814,16967,hàng giao vòng 1h . date . ủng_hộ tiếp .,0,0,1,0,1,0,0
815,16966,giao hàng chậm,0,0,0,0,-1,0,0
816,16965,giao hàng đóng_gói cẩn_thận sản_phẩm_chất_lượng thanks shop .,0,0,0,1,1,0,0
818,16963,sữa không dán tem friso không an_tâm lắm 😬,0,0,0,0,0,0,-1
819,16962,date đóng_gói hàng cẩn_thận,0,0,1,0,1,0,0
821,16960,"ăn 1 , 2 , bố_mẹ hợp sữa yên_tâm mua",0,0,0,0,0,1,0
822,16959,"date đúng như mô_tả , mua giá sale , chưa không chất_lượng",1,0,1,0,0,0,0
824,16957,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giao hàng hãng,0,0,0,1,1,0,1
825,16956,đóng_gói sản_phẩm . hàng chuẩn . hy_vọng bé uống hiệu_quả tốt,0,0,0,1,1,0,0
826,16955,"mua 2 ưng_ý sản_phẩm phục_vụ , ủng_hộ shop",0,1,0,1,0,0,0
827,16954,"giá rẻ đại_lí , hi_vọng 0 sữa kém chất_lượng . đóng_gói cẩn_thận , .",1,0,0,0,1,0,0
829,16952,"ko không chất_lượng , nick mua bé",0,0,0,0,0,1,0
830,16951,"sữa , hạn , thơm , bé uống . shop hàng",0,0,1,0,-1,0,0
831,16950,"giao hàng , 1 tuần !",0,0,0,0,-1,0,0
833,16948,bọc cẩn_thận méo 5 * lsau mua,0,0,0,0,-1,0,0
835,16946,"shop đóng hàng thận , bé tốt ủng_hộ shop tiếp",0,0,0,0,1,0,0
836,16945,"sữa uống vẻ sữa mẹ , hợp_tác . đổi sữa vẻ bé ăn tốt , mua 2",0,0,0,1,0,1,0
837,16944,chất_lượng ok . hà_nội giao now ship . mua hàng ủng_hộ,0,0,0,1,1,0,0
838,16943,hàng mẫu lon không móp ok mua giá xu .,0,0,0,1,1,0,0
839,16942,"giao hàng , hộp sữa không móp , . uống oki mua tiếp , mua hàng shope chủ_yếu uy_tín đúng hàng ủng_hộ dài_dài",0,0,0,0,1,0,1
840,16941,hàng chuẩn mua giao hàng siêu ưng phục_vụ shop,0,1,0,0,1,0,1
845,16936,shope giao hàng chậm,0,0,0,0,-1,0,0
847,16934,"gói hàng cẩn , giao hàng , mua thử hợp_tác không mua",0,0,0,0,1,0,0
848,16933,thật_tình shop minh hài_lòng nhanh_nhẹn đóng_gói kỹ_lưỡng toàn kiếm ưu_đãi chưa kaka,0,1,0,0,1,0,0
851,16930,hàng rùi . shop . hàng giao đúng như thông_tin sản_phẩm 7 / 2021 . ủng_hộ shop nha .,0,0,1,0,1,0,1
852,16929,đóng_gói kỹ hạn 202,0,0,1,0,1,0,0
853,16928,mua 4 mót hộp sữa buồn thiệt,0,0,0,0,-1,1,0
854,16927,"đóng_gói hàng kỹ , uống mua đều không cân r 😭",0,0,0,0,1,0,0
855,17598,"giao hàng , chất_lượng sản_phẩm tốt , đóng_gói ❤ ️",0,0,0,1,1,0,0
856,17597,"đóng_gói , giao hàng , sản_phẩm_chất nhiệt_tình",0,1,0,1,1,0,0
858,17595,"giao hàng , đóng_gói cẩn_thận , hạn , tiền",0,0,1,0,1,0,0
860,17593,"shop giao hàng , sản_phẩm không đóng_góp cẩn_thận , không bóp_méo , chờ bé hợp sữa không , 😁",0,0,0,0,1,0,0
862,17591,"okela 😁 sản_phẩm_chất_lượng , giao đủ , lắm 5 kí_tự nè",0,0,0,1,0,0,0
864,17589,hàng như . shop giao hàng nhanh_chóng . shop,0,0,0,0,1,0,0
865,17588,giao hàng không bóp_méo,0,0,0,0,1,0,0
866,17587,đóng_gói sản_phẩm . giao hàng . hạn .,0,0,1,0,1,0,0
867,17586,"giao hàng hôm_qua hôm_nay hàng , hạn yên_tâm",0,0,1,1,1,0,0
868,17585,"giao hàng , đóng_gói cẩn_thận , ủng_hộ shop .",0,0,0,0,1,0,0
869,17584,"bỉm ok , video hình_ảnh không , giao hàng .",0,0,0,1,1,0,0
870,17583,"đóng_gói cẩn_thận , giao hàng thắc_mắc chỗ thùng sữa như ( hình chụp ) , kiểm_tra bịch bột không",0,0,0,0,1,0,0
874,17579,giao_hành . mua hộp lớn tiết_kiệm . đóng_gói sản_phẩm tốt,0,0,0,0,1,0,0
877,17576,date 4.202 giá shop shop không không rẻ áp mã hoàn xu đợt sale shop giảm_giá mua,1,0,1,0,0,0,0
883,17570,"giao hàng , đúng sp , bé 6kg mặc kích_thước s , mua m kích_thước 6 - 11kg hy_vọng không to",0,0,0,0,1,0,1
884,17569,"sản_phẩm_chất_lượng tốt , shop phục_vụ tốt . shop đóng_gói cẩn_thận gửi hàng",0,1,0,1,1,0,0
885,17568,sữa bé uy_tín giao hàng tội vận_chuyển hơi ăn_gian bắt + tiền ship,0,1,0,0,-1,0,1
886,17567,hộp sữa không hộp mua chưa chưa chất_lượng tốt ko .,0,0,0,0,0,0,-1
887,17566,"giao hàng , bọc gói cẩn_thận hộp sữa hơi vón cục mịn",0,0,0,-1,1,0,0
888,17565,"giao hơi chậm chút_xíu hàng đóng_gói , sản_phẩm như mong_đợi , chưa chưa chất_lượng hàng đóng lon ko , 5 phục_vụ chu_đáo shop",0,1,0,0,1,0,0
891,17562,hàng ok . tem nhãn đầy_đủ,0,0,0,0,0,0,1
892,17561,hàng chuẩn . shop đóng hàng cẩn_thận gửi hàng .,0,0,0,0,1,0,1
893,17560,hộp méo móp không hài_lòng lắm . shop 4 nhắc nhẹ .,0,0,0,0,-1,0,0
894,17559,m hàng . giao hàng đúng . m chưa uống chưa clsp . ngon m ủng_hộ tiếp .,0,0,0,0,1,0,0
896,17557,"sản_phẩm_chất_lượng , hạn đóng_gói sản_phẩm . giao hàng nhanh_chóng ! 👍",0,1,1,1,1,0,0
897,17556,mua sữa yên_tâm hạn giá_thành oke .,1,0,1,1,0,0,0
900,17553,"đóng_gói , hộp không móp , đẹp .",0,0,0,0,1,0,0
903,17550,"giao hàng ☹ ️ tội_nghiệp shipper mưa_gió tối muộn đi ship ,",0,1,0,0,-1,0,0
904,17549,"đóng_gói cẩn_thận , giá rẻ , thử vị sữa vỏ hộp hàng chuẩn",1,0,0,0,1,0,1
906,17547,chất_lượng sản_phẩm tuyệt hàng gói đẹp .,0,0,0,1,1,0,0
907,17546,"mua 2 shop hàng ok , mik . chúc shop buôn may đắt ! ủng_hộ shop",0,0,0,1,0,0,0
908,17545,hộp móp,0,0,0,0,-1,0,0
909,17544,"shop giao hàng siêu , hàng đúng loại , bỉm giá rẻ thấm hút tốt , oke",1,0,0,1,1,0,1
911,17542,"date , đóng_gói cẩn_thận , hài_lòng",0,0,1,1,1,0,0
913,17540,mua shop . hàng chuẩn tem mác đầy_đủ . giao hàng siêu . ủng_hộ tiếp,0,0,0,0,1,0,1
914,17539,"sản_phẩm tốt , shop tư_vấn nhiệt_tình",0,1,0,1,0,0,0
917,17536,shop giao hàng . đóng sản_phẩm mô_tả . tạm ảnh chụp sản_phẩm shop hàng nguyên tem,0,0,0,0,1,0,1
918,17535,"mua bỉm chỗ , chỗ , bỉm giá bình_dân oke",1,0,0,1,0,0,0
920,17533,giao hàng nhanh_chóng . sữa bé uống đầu không lắm bé uống quen ok . trải nghiệm không tốt mua sữa shope lừa quyết_định shop . đầu shop se ủng ho tiếp !,0,0,0,1,1,0,0
921,17532,"giao hàng , vỏ hộp móp méo , rách_nát , . mong giao hàng nguyên_vẹn giùm",0,0,0,0,-1,0,0
925,17528,giao hàng . giá rẻ shop . shop tư_vấn,1,1,0,0,1,0,0
927,17526,hộp bóp_méo !,0,0,0,0,-1,0,0
930,17523,"mua 2 , bỉm thấm hút tốt , mềm , giá tiền . giao hàng . ủng_hộ tiếp .",1,0,0,1,1,0,0
932,17521,"bỉm giao , bỉm chuẩn . loại core tạm angel . tất_tặng xinh",0,1,0,0,1,0,1
933,17520,"giá tốt hàng chuẩn . giao hàng siêu , đóng_gói cẩn_thận , sữa hạn 🤪 mua .",1,0,1,0,1,0,1
936,17517,"hàng oke mua shop ! vỡ nắp shop , ko khâu ?",0,-1,0,0,-1,0,0
937,17516,đầu mua sữa shop hài_lòng sữa . mua tiếp 🥰,0,0,0,1,0,0,0
939,17514,chưa chưa ? đóng_gói cẩn_thận,0,0,0,0,1,0,0
940,17513,"chất_lượng sản_phẩm tuyệt_vời , shop tư_vấn nhiệt_tình , giao hàng .",0,1,0,1,1,0,0
941,17512,shop giao hàng . sữa vị ổn bất dung_nạp lactose mua kefir piima : ),0,0,0,1,1,0,0
942,17511,yubest mềm hút tương_đối . gold night đùi vẻ rộng loại . bé đùi to ok . đùi nằm nghiêng chảy,0,0,0,1,0,0,0
943,17510,"giao_hành , đóng_gói cẩn_thận , hạn , chất_lượng sản_phẩm oke",0,0,1,1,1,0,0
945,17508,"đóng_gói kỹ , hàng nguyên_vẹn",0,0,0,0,1,0,0
949,17504,"đóng_gói cẩn_thận giao hàng , sữa yên_tâm",0,0,0,0,1,0,0
950,17494,giao hàng hơi xíu . sp_oke,0,0,0,1,-1,0,0
951,17493,"mua n shop , mong hàng chất_lượng ủng_hộ shop",0,0,0,0,0,1,0
952,17492,shop giao hàng . sản_phẩm hạn . đóng_gói sản_phẩm cẩn_thận,0,1,1,1,1,0,0
953,17491,"hàng , mong bé hợp sez , ăn ngon ngủ ngon , nếu_như_vậy ủng_hộ tiếp",0,0,0,0,0,1,0
954,17490,sữa thơm . bé .,0,0,0,1,0,0,0
955,17489,"đóng_gói cẩn hàng , hạn tốt .",0,0,1,0,1,0,0
956,17488,bé ăn . date giao hàng . giá rẻ thị_trường . ủng_hộ,1,0,1,0,1,0,0
959,17485,"mua 2 shop , sữa tốt , giao hàng nhanh_chóng , hạn",0,0,1,1,1,0,0
960,17484,shop giao hàng đóng_gói cẩn_thận . sp hạn . ủng_hộ thử bé vị dâu 😁 .,0,0,1,0,1,0,0
961,17483,"ship , chất_liệu mềm_mại hơi mỏng không bé tiểu tràn ko . shop ân_cần chu_đáo",0,1,0,1,1,0,0
962,17482,sp phản_hồi shop . shop giao hàng . ủng_hộ shop tiếp .,0,1,0,0,1,0,0
963,17481,sản_phẩm đúng miêu gói cẩn 202,1,0,1,0,1,0,1
964,17480,"sữa thơm , uống",0,0,0,1,0,0,0
965,17479,"chất_lượng sản_phẩm tốt , đóng_gói , phục_vụ tốt , giao hàng hơi",0,1,0,1,-1,0,0
966,17478,"hạn 2022 , săn sale giá rẻ , chất_lượng chưa chưa , đóng_gói cẩn_thận",1,1,1,0,1,0,0
967,17477,"mua ưng , giao hàng , gói hàng cẩn_thận .",0,0,0,0,1,0,0
968,17476,"giao hàng đúng hẹn , hàng chuẩn , hạn . thanks shop .",0,0,1,0,1,0,1
969,17475,date hơi ngắn 6,0,0,-1,0,0,0,0
970,17474,shop giao hàng,0,0,0,0,1,0,0
971,17473,"giao hàng , shop đóng_gói sản_phẩm cẩn_thận , hàng đẩy đủ , đúng loại , schua hạn 03 / 21",0,0,1,0,1,0,1
972,17472,"sữa ngon , shop mix vị , giao hàng , tư_vấn nhiệt_tình gói hàng kĩ_lưỡng",0,1,0,1,1,0,0
975,17469,"sp ok , đội_ngũ giao hàng dễ_thương chuyên_nghiệp , tận_tình , hình_như jt expres",0,1,0,1,1,0,0
977,17467,"hàng chuẩn hãng , không vỏ hộp móp .",0,0,0,0,-1,0,1
978,17466,hình_ảnh tính_chất minh_họa 10 xu . mua hàng n,0,0,0,0,0,1,0
979,17465,"sản_phẩm tốt , shop giao hàng , uy_tín . ủng_hộ shop tiếp",0,0,0,1,1,0,0
980,17464,"giao hàng , bọc gói hàng cẩn_thận , giá_thành giá tiền",1,0,0,0,1,0,0
981,17463,"shop đóng_gói sữa cẩn_thận , 1 hộp móp vỏ . date sữa .",0,0,1,0,1,0,0
983,17461,sữa shop hàng cẩn_thận siêu bé uống chất_lượng,0,0,0,0,1,0,0
986,17458,"đóng_gói siêu , mua đi mua shop .",0,0,0,0,1,0,0
987,17457,"gói hàng cẩn_thận , gỡ đứt hơi 😎 1 thùng 4 gói , mua như gọn mua lon . mua lon chất lon chật",0,0,0,0,1,0,0
988,17456,sữa thơm hàng toá shop,0,0,0,1,1,0,0
989,17455,ổn . date . rẻ,1,0,1,1,0,0,0
990,17454,"giao hàng , sữa hạn , ok , mua sale giá rẻ",1,0,1,1,1,0,0
991,17453,"shop giao hàng , giá rẻ , bé ăn hi_vọng bé hợp_tác .",1,0,0,0,1,0,0
992,17452,"đóng_gói kỹ , hàng chất_lượng . mua đúng dịp giảm_giá tiết_kiệm",1,0,0,1,1,0,0
993,17451,"giao hàng , mua shop , hàng chuẩn hãng .",0,0,0,0,1,0,1
994,17450,xịn hạn uống ngon hợp_tác sữa nhạt dòng sữa ship . gọn lẹ,0,0,1,1,1,0,0
995,17449,bé uống đầu . mong mập chiều . uh shop,0,0,0,1,0,0,0
996,17448,đóng_gói cẩn_thận ủng_hộ shop,0,0,0,0,1,0,0
998,17446,hàng . hàng chất_lượng tuyệt hàng hộ shop .,0,0,0,1,1,0,0
1001,17443,sữa giao quấn hàng chưa uống chưa chất_lượng như,0,0,0,0,1,0,0
1004,17440,shop giao hàng . đóng_gói hàng cẩn_thận,0,0,0,0,1,0,0
1006,17438,"shop , shop giao hang , shop trả_lời .",0,1,0,0,1,0,0
1007,17437,hàng . giao hàng . date . ủng_hộ ưng,0,0,1,1,1,0,0
1008,17436,"hàng shop , shop hàng tốt , gói cẩn_thận , giao hàng đúng như khách_hàng , hài_lòng làm_việc , hàng shop",0,1,0,0,1,0,0
1009,17435,"shop giao hàng , vp hôm hôm có_mặt , hà_nội . đóng_gói cẩn_thận đẹp",0,0,0,0,1,0,0
1011,17433,"đóng_gói cẩn_thận , hạn , mua shop , giao hàng",0,0,1,0,1,0,0
1012,17432,"bốn gói tách rời tiện_dụng . giá_cả hợp_lý , an_tâm . 5 mall !",1,0,1,0,0,0,0
1013,17431,"chất_lượng sản_phẩm gói hàng , giao hàng nhiệt_tình",0,1,0,1,1,0,0
1014,17430,"giao hàng , đóng_gói cẩn_thận , chất_lượng ok , good good : )",0,0,0,1,1,0,0
1016,17428,"date lắm , uống tiện không như hộp",0,0,1,0,0,0,0
1017,17427,"mua , suy_nghĩ hàng , giá shop , lượt mua tạm tin_tưởng .",-1,0,0,0,0,0,-1
1018,17426,giao hàng giá_cả hợp_lý chất_lượng tư_vấn nhiệt_tình,1,1,0,1,1,0,0
1019,17425,khách_hàng thân_thiết . 2 bao_tải to . chất_lượng tốt . shop nhiệt_tình . a giao hàng quen .,0,1,0,1,0,0,0
1022,17422,giao check mã_vạch oke,0,0,0,0,1,0,1
1023,17421,giao hàng . đóng_gói cẩn_thận . shop . ủng_hộ,0,0,0,0,1,0,0
1027,17417,"shop đóng_gói cẩn_thận , ưng lắm",0,0,0,0,1,0,0
1028,17416,"mua n r , đóng_gói cẩn hàng hơi , sữa oke : )",0,0,0,1,1,0,0
1029,17415,giao hàng . hum hum hàng gói cẩn_thận . giá_cả hợp_lý . chất_lượng sản_phẩm oke,1,0,0,1,1,0,0
1030,17414,"giao nội_thành siêu , sản_phẩm hạn , thanks shop , oke ủng_hộ .",0,0,1,0,1,0,0
1031,17413,"mua enfa sale thương_hiệu giá tiết_kiệm miễn_phí vận_chuyển ,",1,0,0,0,1,0,0
1032,17412,"sản_phẩm đúng hàng air , bil đầy_đủ rõ_ràng , chủ tư_vấn nhiệt_tình , giải_đáp thắc_mắc không mua hàng không . ủng_hộ shop làm_ăn chân_chính như ❤ ️",0,1,0,0,0,0,1
1033,17411,"hàng đóng_gói cẩn_thận , ủng_hộ shop",0,0,0,0,1,0,0
1035,17409,"thương_hiệu lớn mẫu hộp giấy giúp tiết_kiệm . bé đi phân tốt , vị ngọt_béo",1,0,0,1,0,0,0
1036,17408,shop hàng . shop món quà . mua hàng shop yên_tâm,0,1,0,0,1,0,0
1037,17407,"shop đóng_gói cẩn_thận , giao hàng . ủng_hộ shop tiếp .",0,1,0,0,1,0,0
1038,17406,"bỉm mềm , mỏng , giá_cả oke mom thay liên_tục 😉 tầm 2h30 trừ 3h thay 1 r",1,0,0,1,0,0,0
1040,17404,"shop giao hàng , cskh tốt .",0,1,0,0,1,0,0
1041,17403,uống loại sữa . 5 chất_lượng . shop ship hàng siêu,0,0,0,1,1,0,0
1042,17402,giao hàng . bé đi_ngoài theo_dõi,0,0,-1,0,1,0,0
1043,17401,"tốt , giao , vận_chuyển móp hộp sữa xíu . ủng họp tiếp",0,0,0,1,1,0,0
1045,17399,giao hàng . 3 mua bỉm shop . ủng_hộ shop dài_dài .,0,0,0,0,1,0,0
1046,17398,shipper nhiệt_tình,0,1,0,0,0,0,0
1047,17397,"mua , sản_phẩm_chất_lượng , đóng_gói cẩn_thận . shop chương_trình khuyến_mãi , hoàn xu đơn hàng giá_trị . ủng_hộ , giao hàng .",1,1,0,1,1,0,0
1048,17396,chất_lượng oke hàng đúng hình chưa chưa chất_lượng,0,0,0,0,1,0,1
1049,17395,date 8 không 11 . shop ghi đúng sự_thật .,0,-1,0,0,0,0,0
1050,17394,"bỉm mềm_mỏng , thấm hút tốt . bề ngang mông to , thích_hợp bé vận_động leo_trèo .",0,0,0,1,0,0,0
1054,17390,"chất_lượng tốt , giao hàng nhanh_trừ đủ , shop nhiệt_tình , dễ_thương ❤ ️ ❤ ️ ❤ ️",0,1,0,1,1,0,0
1055,17389,giao hàng . đóng_gói cẩn_thận . mk mua . hàng chuẩn,0,0,0,0,1,0,1
1056,17388,sản_phẩm mô_tả . giao hàng . đóng_gói cẩn_thận,0,0,0,0,1,0,1
1057,17387,đóng_gói sản_phẩm chất_lượng sản_phẩm tuyệt_vời,0,0,0,1,1,0,0
1061,17383,shop giao hàng nhanh_chóng . đóng_gói hàng cẩn_thận . hy_vọng bé ghích vị . n,0,0,0,0,1,0,0
1064,17380,"giao hàng , đóng_gói cẩn_thận . chất_lượng sản_phẩm chờ",0,0,0,0,1,0,0
1065,17379,hộp sữa móp . nắp hộp hơi lỏng_lẻo . hi_vọng chất_lượng ok. !,0,0,0,0,-1,0,0
1066,17378,"sản_phẩm móp méo , không thiện_cảm_chút",0,0,0,0,-1,0,0
1067,17377,"hàng chuẩn , check mã_vạch , đóng_gói , giao hàng",0,0,0,0,1,0,1
1068,17376,"giao hàng , hộp không móp méo",0,0,0,0,1,0,0
1069,17375,"giao hàng , mua 2 tín_nhiệm shop .",0,0,0,0,1,0,0
1070,17374,bọc quạt vừa_vặn chồm 1chút . sữa mua 2 không . đóng_gói đẹp .,0,1,0,0,1,0,0
1071,17373,chưa đóng_gói sản_phẩm ! hi_vọng bé hợp_tác ủng_hộ shop,0,0,0,0,1,0,0
1072,17372,shop đóng_gói cẩn hàng,0,0,0,1,1,0,0
1073,17371,"đóng_gói sản_phẩm cẩn_thận , sản_phẩm đúng mô_tả , chất_lượng sản_phẩm tốt",0,0,0,1,1,0,1
1074,17370,"hàng đẹp , shop nhiệt_tình , shipper siêu dễ_thương , dễ_tính . : )",0,1,0,0,1,0,0
1076,17368,shop giao hàng gói hàng cẩn_thận . sữa vị thơm ngon giá_cả .,1,0,0,1,1,0,0
1078,17366,"đóng_gói sản_phẩm đẹp , giao hàng , chất_lượng sản_phẩm tuyệt_vời . ủng_hộ shop . 😃",0,0,0,1,1,0,0
1082,17362,đóng_gói hàng chu_đáo ! date . bé uống kid cân tốt,0,0,1,1,1,0,0
1083,17361,giá rẻ thị_trường . mặc_dù shop đóng thận hàng móp một_chút,1,0,0,0,1,0,0
1084,17360,"sản_phẩm_chất_lượng , gói hàng cẩn_thận , giao hàng hơi chậm giá_cả hợp_lí shop tư_vấn nhiệt_tình ưng mua hàng",1,1,0,1,-1,0,0
1085,17359,sale lớn mua nè shop nha 11.1 sale mạnh nha_shop,1,0,0,0,0,0,0
1087,17357,"đóng_gói hàng cẩn_thận . giao hàng . sữa_chua , váng sữa nguội ăn ngon bé . date . bé hợp_tác ủng hộp tiếp",0,0,1,1,1,0,0
1088,17356,chất_lượng sản_phẩm tuyệt_vời . đóng_gói sản_phẩm đẹp .,0,0,0,1,1,0,0
1089,17355,"giao hàng , thấm hút oke bé 3 mông háng hăm đỏ 😑",0,0,-1,1,1,0,0
1090,17354,"bỉm ổn , giá_thành vừa_phải , thích_hợp dùg ban_ngày nha !",1,0,0,1,0,0,0
1092,17352,"shop ship , chuẩn hẹn shop . bé hợp_tác . shop !",0,0,0,0,1,0,0
1093,17351,bé 1 uống mẹ màu xanh - vị 150ml hồng - vị dâu 200ml nâu - vị sôcla 200ml,0,0,0,0,0,1,0
1095,17349,"giao hàng , hộp sữa méo , cty không chụp hình , shop chú_ý đóng_gói hàng",0,0,0,0,-1,0,0
1096,17348,mua hàng cẩn rẻ hàng chất_lượng,1,0,0,1,1,0,0
1097,17347,hông mua mấy mua tiếp hi_vọng săn sale,0,0,0,0,0,1,0
1098,17346,hàng hãng mua sale giá rẻ . đóng_gói cẩn_thận .,1,0,0,0,1,0,1
1099,17345,"giao hàng , giá tốt , shop bọc hàng cẩn_thận , ủng_hộ tiếp . hình_ảnh tính_chất xu",1,0,0,0,1,0,0
1100,17344,ngon . bé mê sữa mẹ thử đầu chưa quen . ăn thử dần,0,0,0,1,0,0,0
1102,17342,"sản_phẩm như hình , đóng_gói cẩn_thận , giao hàng , chất_lượng",0,0,0,1,1,0,1
1104,17340,"shop đóng_gói cẩn_thận , phí ship rẻ , giá cạnh_tranh , mua",1,0,0,0,1,0,0
1105,17339,sản_phẩm tốt . giao hàng đóng_gói cẩn_thận . mua 2 sản_phẩm quà tặng 1,0,-1,0,1,1,0,0
1107,17337,"shop giao hàng , đóng_gói cẩn_thận không móp méo lon sữa thời_hạn",0,0,1,0,1,0,0
1108,17336,"hàng hạn , tem chống hàng giả , tem nhập_khẩu . ng mua .",0,0,1,0,0,0,1
1109,17335,"giao hàng chậm . shipper giao hàng nc nghe . sữa ok , giá_cả hợp_lý .",1,-1,0,1,-1,0,0
1111,17333,"sữa tốt , vị , hợp_tác . sữa tốt , vị , hợp_tác . .",0,0,0,1,0,0,0
